선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
전준우,롯데,144,9,6,3,66.7,4,0
장두성,롯데,43,6,4,2,66.7,0,1
추재현,롯데,95,7,4,3,57.1,1,1
신윤후,롯데,71,4,3,1,75.0,3,0
안치홍,롯데,119,9,3,6,33.3,4,0
최민재,롯데,21,2,2,0,100,1,0
나승엽,롯데,60,1,1,0,100,0,0
배성근,롯데,78,1,1,0,100,2,0
강로한,롯데,21,0,0,0,-,0,0
강윤구,롯데,1,0,0,0,-,0,0
강태율,롯데,19,1,0,1,0.0,0,0
김민수,롯데,82,0,0,0,-,4,1
김원중,롯데,3,0,0,0,-,0,0
김유영,롯데,2,0,0,0,-,0,0
김주현,롯데,8,0,0,0,-,0,0
나균안,롯데,1,0,0,0,-,0,0
나원탁,롯데,1,0,0,0,-,0,0
민병헌,롯데,14,1,0,1,0.0,1,0
손성빈,롯데,20,0,0,0,-,0,0
송재영,롯데,1,0,0,0,-,0,0
안중열,롯데,58,0,0,0,-,0,1
오현택,롯데,1,0,0,0,-,0,0
이대호,롯데,114,0,0,0,-,3,0
이병규,롯데,29,0,0,0,-,0,0
이인복,롯데,1,0,0,0,-,0,0
이주찬,롯데,3,0,0,0,-,0,0
이호연,롯데,7,0,0,0,-,0,0
정보근,롯데,11,1,0,1,0.0,0,0
지시완,롯데,73,0,0,0,-,1,0
최종은,롯데,1,0,0,0,-,0,0
한동희,롯데,129,1,0,1,0.0,2,0
박해민,삼성,127,51,36,15,70.6,4,2
구자욱,삼성,139,31,27,4,87.1,6,0
김지찬,삼성,120,27,23,4,85.2,4,1
피렐라,삼성,140,15,9,6,60.0,5,0
김헌곤,삼성,118,9,5,4,55.6,0,1
김상수,삼성,132,6,4,2,66.7,5,1
강한울,삼성,124,4,2,2,50.0,4,0
김동엽,삼성,69,3,2,1,66.7,2,0
김성표,삼성,39,3,2,1,66.7,0,1
이학주,삼성,66,4,2,2,50.0,2,0
박승규,삼성,59,2,1,1,50.0,1,0
오재일,삼성,120,1,1,0,100,3,1
이원석,삼성,131,1,1,0,100,2,0
최영진,삼성,44,1,1,0,100,1,0
강민호,삼성,123,0,0,0,-,5,0
권정웅,삼성,2,0,0,0,-,0,0
김도환,삼성,25,1,0,1,0.0,0,0
김민수,삼성,47,0,0,0,-,2,0
김성윤,삼성,30,1,0,1,0.0,0,0
김윤수,삼성,2,0,0,0,-,0,0
김응민,삼성,1,0,0,0,-,0,0
김현준,삼성,13,0,0,0,-,0,0
김호재,삼성,87,0,0,0,-,0,0
노건우,삼성,2,0,0,0,-,0,0
문용익,삼성,1,0,0,0,-,0,0
백승민,삼성,4,0,0,0,-,0,0
송준석,삼성,19,0,0,0,-,0,0
안주형,삼성,1,0,0,0,-,0,0
오선진,삼성,23,0,0,0,-,0,0
오승환,삼성,2,0,0,0,-,0,0
이재익,삼성,1,0,0,0,-,0,0
이태훈,삼성,3,0,0,0,-,0,0
김혜성,키움,144,50,46,4,92.0,4,1
이용규,키움,133,19,17,2,89.5,3,0
이정후,키움,123,13,10,3,76.9,2,1
박정음,키움,70,6,4,2,66.7,0,0
이지영,키움,108,4,3,1,75.0,3,1
전병우,키움,115,4,3,1,75.0,0,0
박동원,키움,131,2,2,0,100,4,0
김웅빈,키움,97,2,1,1,50.0,6,0
김주형,키움,36,1,1,0,100,0,0
김휘집,키움,34,1,1,0,100,1,0
박주홍,키움,23,2,1,1,50.0,0,0
박준태,키움,27,1,1,0,100,2,0
송우현,키움,69,2,1,1,50.0,2,0
김동욱,키움,1,0,0,0,-,0,0
김병휘,키움,13,0,0,0,-,0,0
김성민,키움,5,0,0,0,-,0,0
김성진,키움,3,0,0,0,-,0,0
김수환,키움,13,0,0,0,-,0,0
김은성,키움,6,0,0,0,-,0,0
김재웅,키움,3,0,0,0,-,0,0
김재현,키움,39,1,0,1,0.0,0,0
김정인,키움,3,0,0,0,-,0,0
김태훈,키움,5,0,0,0,-,0,0
문성현,키움,1,0,0,0,-,0,0
문찬종,키움,13,0,0,0,-,0,0
박관진,키움,1,0,0,0,-,0,0
박병호,키움,118,1,0,1,0.0,0,0
박승주,키움,1,0,0,0,-,0,0
변상권,키움,72,0,0,0,-,1,0
송성문,키움,66,0,0,0,-,2,0
신준우,키움,56,1,0,1,0.0,3,0
양현,키움,4,0,0,0,-,0,0
예진원,키움,52,1,0,1,0.0,2,0
오주원,키움,2,0,0,0,-,0,0
윤정현,키움,1,0,0,0,-,0,0
이명기,키움,3,0,0,0,-,0,0
이승호,키움,3,0,0,0,-,0,0
이주형,키움,5,0,0,0,-,0,0
임지열,키움,19,1,0,1,0.0,0,0
장재영,키움,1,0,0,0,-,0,0
조상우,키움,4,0,0,0,-,0,0
조영건,키움,1,0,0,0,-,0,0
크레익,키움,61,1,0,1,0.0,1,0
프레이타스,키움,43,0,0,0,-,1,0
허정협,키움,29,0,0,0,-,0,0
하주석,한화,138,29,23,6,79.3,6,2
정은원,한화,139,30,19,11,63.3,6,1
노수광,한화,52,14,13,1,92.9,5,1
김민하,한화,46,9,6,3,66.7,3,1
김태연,한화,53,8,5,3,62.5,2,1
노시환,한화,107,7,5,2,71.4,4,2
이원석,한화,43,6,4,2,66.7,2,0
정진호,한화,47,5,4,1,80.0,2,0
페레즈,한화,59,9,4,5,44.4,2,0
강상원,한화,35,3,3,0,100,1,1
장운호,한화,103,9,3,6,33.3,4,2
조한민,한화,52,5,3,2,60.0,1,1
최재훈,한화,116,5,3,2,60.0,7,0
유로결,한화,34,3,2,1,66.7,1,0
이시원,한화,33,4,2,2,50.0,1,0
장지승,한화,24,2,2,0,100,1,0
최인호,한화,49,3,2,1,66.7,1,0
힐리,한화,67,3,2,1,66.7,2,0
박정현,한화,33,1,1,0,100,1,0
이도윤,한화,56,3,1,2,33.3,0,0
이성열,한화,46,1,1,0,100,3,0
강재민,한화,2,0,0,0,-,0,0
김기탁,한화,1,0,0,0,-,0,0
김종수,한화,1,0,0,0,-,0,0
김지수,한화,11,0,0,0,-,0,0
김태균,한화,1,0,0,0,-,0,0
김건,한화,5,0,0,0,-,0,0
노태형,한화,18,0,0,0,-,0,0
박상언,한화,1,0,0,0,-,0,0
백용환,한화,39,0,0,0,-,1,0
송윤준,한화,1,0,0,0,-,0,0
송호정,한화,10,0,0,0,-,0,1
신정락,한화,1,0,0,0,-,0,0
윤대경,한화,1,0,0,0,-,0,0
윤호솔,한화,1,0,0,0,-,0,0
이성곤,한화,62,3,0,3,0.0,0,0
이해창,한화,20,1,0,1,0.0,0,0
임종찬,한화,42,1,0,1,0.0,1,0
임준섭,한화,1,0,0,0,-,0,0
장규현,한화,7,0,0,0,-,0,0
장민재,한화,1,0,0,0,-,0,0
정민규,한화,6,0,0,0,-,0,0
정우람,한화,4,0,0,0,-,0,0
허관회,한화,28,0,0,0,-,1,1
